,[W],[Ta],[Tr],[R],total_count,sequence_type,block_number,block_type,R_avg_cluster_size,Ta_avg_cluster_size,Tr_avg_cluster_size,W_avg_cluster_size,num_cluster_types,max_cluster_size,R_no_of_cluster,Ta_no_of_cluster,Tr_no_of_cluster,W_no_of_cluster,R_max_cluster_size,Ta_max_cluster_size,Tr_max_cluster_size,W_max_cluster_size,smiles
0,4.0,4.0,0.0,0.0,8.0,block,2,[W][Ta],0.0,4.0,0.0,4.0,2,4,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,[W][W][W][W][Ta][Ta][Ta][Ta]
1,6.0,4.0,0.0,0.0,10.0,block,2,[W][Ta],0.0,4.0,0.0,6.0,2,6,0.0,1.0,0.0,1.0,0.0,4.0,0.0,6.0,[W][W][W][W][W][W][Ta][Ta][Ta][Ta]
2,8.0,4.0,0.0,0.0,12.0,block,2,[W][Ta],0.0,4.0,0.0,8.0,2,8,0.0,1.0,0.0,1.0,0.0,4.0,0.0,8.0,[W][W][W][W][W][W][W][W][Ta][Ta][Ta][Ta]
3,10.0,4.0,0.0,0.0,14.0,block,2,[W][Ta],0.0,4.0,0.0,10.0,2,10,0.0,1.0,0.0,1.0,0.0,4.0,0.0,10.0,[W][W][W][W][W][W][W][W][W][W][Ta][Ta][Ta][Ta]
4,12.0,4.0,0.0,0.0,16.0,block,2,[W][Ta],0.0,4.0,0.0,12.0,2,12,0.0,1.0,0.0,1.0,0.0,4.0,0.0,12.0,[W][W][W][W][W][W][W][W][W][W][W][W][Ta][Ta][Ta][Ta]
5,4.0,6.0,0.0,0.0,10.0,block,2,[W][Ta],0.0,6.0,0.0,4.0,2,6,0.0,1.0,0.0,1.0,0.0,6.0,0.0,4.0,[W][W][W][W][Ta][Ta][Ta][Ta][Ta][Ta]
6,6.0,6.0,0.0,0.0,12.0,block,2,[W][Ta],0.0,6.0,0.0,6.0,2,6,0.0,1.0,0.0,1.0,0.0,6.0,0.0,6.0,[W][W][W][W][W][W][Ta][Ta][Ta][Ta][Ta][Ta]
7,8.0,6.0,0.0,0.0,14.0,block,2,[W][Ta],0.0,6.0,0.0,8.0,2,8,0.0,1.0,0.0,1.0,0.0,6.0,0.0,8.0,[W][W][W][W][W][W][W][W][Ta][Ta][Ta][Ta][Ta][Ta]
8,10.0,6.0,0.0,0.0,16.0,block,2,[W][Ta],0.0,6.0,0.0,10.0,2,10,0.0,1.0,0.0,1.0,0.0,6.0,0.0,10.0,[W][W][W][W][W][W][W][W][W][W][Ta][Ta][Ta][Ta][Ta][Ta]
9,12.0,6.0,0.0,0.0,18.0,block,2,[W][Ta],0.0,6.0,0.0,12.0,2,12,0.0,1.0,0.0,1.0,0.0,6.0,0.0,12.0,[W][W][W][W][W][W][W][W][W][W][W][W][Ta][Ta][Ta][Ta][Ta][Ta]
10,4.0,8.0,0.0,0.0,12.0,block,2,[W][Ta],0.0,8.0,0.0,4.0,2,8,0.0,1.0,0.0,1.0,0.0,8.0,0.0,4.0,[W][W][W][W][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta]
