,[W],[Ta],[Tr],[R],total_count,sequence_type,R_avg_cluster_size,Ta_avg_cluster_size,Tr_avg_cluster_size,W_avg_cluster_size,num_cluster_types,max_cluster_size,R_no_of_cluster,Ta_no_of_cluster,Tr_no_of_cluster,W_no_of_cluster,R_max_cluster_size,Ta_max_cluster_size,Tr_max_cluster_size,W_max_cluster_size,smiles
0,4.0,4.0,4.0,4.0,16,random,2.0,3.0,2.0,2.0,4,3,1,1,1,1,2,3,2,2,[W][Ta][Tr][W][W][Ta][Ta][Ta][R][W][Tr][Tr][R][R][Tr][R]
1,4.0,4.0,4.0,4.0,16,random,2.0,3.0,3.0,2.0,4,3,1,1,1,2,2,3,3,2,[R][W][W][R][R][Tr][Tr][Tr][Ta][Ta][Ta][W][W][Ta][R][Tr]
2,4.0,4.0,4.0,4.0,16,random,0.0,0.0,2.0,0.0,4,2,0,0,1,0,0,0,2,0,[Ta][R][Ta][W][Tr][W][Ta][R][Tr][W][Ta][Tr][Tr][R][W][R]
3,4.0,4.0,4.0,4.0,16,random,2.0,0.0,3.0,0.0,4,3,1,0,1,0,2,0,3,0,[W][Ta][R][Ta][Tr][Tr][Tr][W][Ta][W][Tr][R][Ta][W][R][R]
4,4.0,4.0,4.0,4.0,16,random,2.0,2.0,2.0,0.0,4,2,1,1,1,0,2,2,2,0,[R][R][Tr][Tr][W][R][Ta][W][R][W][Ta][Tr][Ta][Ta][W][Tr]
5,6.0,4.0,4.0,4.0,18,random,0.0,0.0,2.0,2.0,4,2,0,0,1,1,0,0,2,2,[W][Tr][Tr][Ta][W][Ta][W][W][Ta][R][W][R][Tr][R][W][Tr][Ta][R]
6,6.0,4.0,4.0,4.0,18,random,0.0,2.0,0.0,2.0,4,2,0,1,0,1,0,2,0,2,[W][W][Tr][W][R][Tr][R][Ta][W][Tr][Ta][Ta][W][R][W][Tr][Ta][R]
7,6.0,4.0,4.0,4.0,18,random,0.0,0.0,2.0,2.0,4,2,0,0,1,1,0,0,2,2,[Tr][Tr][Ta][Tr][Ta][W][R][W][R][W][Tr][R][W][Ta][W][W][Ta][R]
8,6.0,4.0,4.0,4.0,18,random,0.0,0.0,2.0,2.5,4,3,0,0,1,2,0,0,2,3,[R][W][R][Ta][R][Ta][Tr][W][W][W][Tr][Tr][W][W][Ta][Tr][Ta][R]
9,6.0,4.0,4.0,4.0,18,random,3.0,2.0,2.0,2.0,4,3,1,1,1,2,3,2,2,2,[Tr][Tr][W][W][Tr][W][R][Ta][Ta][Tr][Ta][W][Ta][R][R][R][W][W]
10,8.0,4.0,4.0,4.0,20,random,2.0,2.0,2.0,3.0,4,3,1,1,1,1,2,2,2,3,[R][W][R][R][Tr][W][Ta][W][R][Ta][Ta][W][W][W][Tr][Tr][W][Tr][W][Ta]
11,8.0,4.0,4.0,4.0,20,random,2.0,2.0,0.0,2.0,4,2,1,1,0,3,2,2,0,2,[W][R][W][Tr][R][R][W][W][Tr][W][W][Tr][Ta][Ta][Tr][W][W][Ta][R][Ta]
12,8.0,4.0,4.0,4.0,20,random,2.0,2.0,2.0,3.0,4,3,1,1,1,2,2,2,2,3,[W][W][W][Tr][R][R][Ta][Ta][W][W][W][Ta][W][Tr][Ta][R][Tr][Tr][R][W]
13,8.0,4.0,4.0,4.0,20,random,2.0,0.0,3.0,2.6666666666666665,4,4,1,0,1,3,2,0,3,4,[Ta][W][W][Tr][Tr][Tr][R][R][Tr][R][Ta][W][W][Ta][R][W][W][W][W][Ta]
14,8.0,4.0,4.0,4.0,20,random,0.0,0.0,0.0,3.0,4,3,0,0,0,1,0,0,0,3,[R][W][W][W][Ta][W][Ta][Tr][Ta][W][Tr][R][W][Ta][Tr][W][R][W][Tr][R]
15,10.0,4.0,4.0,4.0,22,random,0.0,0.0,0.0,2.0,4,2,0,0,0,1,0,0,0,2,[W][R][W][R][W][Ta][W][Tr][W][Tr][R][Tr][W][R][W][Ta][Tr][Ta][W][W][Ta][W]
16,10.0,4.0,4.0,4.0,22,random,3.0,0.0,0.0,3.0,4,3,1,0,0,2,3,0,0,3,[R][R][R][Tr][W][W][W][Ta][Tr][W][Tr][Ta][W][R][W][Tr][Ta][W][Ta][W][W][W]
17,10.0,4.0,4.0,4.0,22,random,0.0,2.0,0.0,2.25,4,3,0,1,0,4,0,2,0,3,[Ta][Tr][W][W][R][Tr][W][W][Ta][W][R][W][W][W][Tr][W][W][R][Tr][Ta][Ta][R]
18,10.0,4.0,4.0,4.0,22,random,0.0,0.0,2.0,2.5,4,3,0,0,2,2,0,0,2,3,[R][W][R][W][Ta][Tr][Tr][W][Tr][Tr][W][Ta][W][R][Ta][W][W][R][Ta][W][W][W]
19,10.0,4.0,4.0,4.0,22,random,0.0,0.0,0.0,2.3333333333333335,4,3,0,0,0,3,0,0,0,3,[Ta][W][Tr][R][W][Tr][Ta][W][W][R][Tr][W][W][W][R][W][W][Ta][W][Ta][R][Tr]
20,12.0,4.0,4.0,4.0,24,random,0.0,0.0,0.0,2.0,4,2,0,0,0,3,0,0,0,2,[W][R][Tr][W][W][R][Ta][W][Tr][W][W][R][W][Ta][W][Tr][W][Ta][Tr][W][W][R][W][Ta]
21,12.0,4.0,4.0,4.0,24,random,0.0,0.0,0.0,2.0,4,2,0,0,0,4,0,0,0,2,[W][Ta][R][W][W][Tr][W][Ta][W][Ta][Tr][W][W][R][W][Ta][Tr][R][W][W][R][W][W][Tr]
22,12.0,4.0,4.0,4.0,24,random,0.0,0.0,0.0,2.0,4,2,0,0,0,5,0,0,0,2,[Ta][W][W][Ta][W][R][Tr][W][W][R][Ta][Tr][Ta][Tr][W][W][R][W][W][Tr][W][W][R][W]
23,12.0,4.0,4.0,4.0,24,random,2.0,0.0,0.0,2.3333333333333335,4,3,1,0,0,3,2,0,0,3,[R][R][W][Tr][W][W][W][Tr][Ta][W][Ta][W][Tr][R][W][W][Ta][W][Tr][W][R][Ta][W][W]
24,12.0,4.0,4.0,4.0,24,random,0.0,0.0,2.0,3.3333333333333335,4,6,0,0,1,3,0,0,2,6,[W][W][R][Ta][Tr][Tr][Ta][R][W][Ta][W][R][W][W][W][W][W][W][Tr][W][W][Ta][Tr][R]
25,4.0,6.0,4.0,4.0,18,random,2.0,2.0,2.0,0.0,4,2,1,2,1,0,2,2,2,0,[R][Ta][W][Tr][R][R][W][Ta][Ta][Tr][Ta][R][W][Tr][Tr][W][Ta][Ta]
26,4.0,6.0,4.0,4.0,18,random,2.0,2.0,0.0,0.0,4,2,1,2,0,0,2,2,0,0,[W][Tr][Ta][Ta][R][Tr][R][R][Ta][W][Tr][Ta][W][R][W][Tr][Ta][Ta]
27,4.0,6.0,4.0,4.0,18,random,2.0,2.0,0.0,0.0,4,2,1,1,0,0,2,2,0,0,[Ta][Tr][W][Ta][Ta][W][Ta][Tr][W][Ta][R][R][Tr][W][Ta][R][Tr][R]
28,4.0,6.0,4.0,4.0,18,random,2.0,2.5,3.0,3.0,4,3,1,2,1,1,2,3,3,3,[Tr][Tr][Tr][Ta][R][W][W][W][Ta][Ta][Ta][Tr][R][R][W][R][Ta][Ta]
29,4.0,6.0,4.0,4.0,18,random,0.0,2.0,2.0,0.0,4,2,0,1,1,0,0,2,2,0,[Ta][Ta][R][Tr][Tr][R][W][Ta][Tr][R][Tr][Ta][W][Ta][R][W][Ta][W]
30,6.0,6.0,4.0,4.0,20,random,2.0,4.0,3.0,2.0,4,4,1,1,1,2,2,4,3,2,[R][W][Ta][Ta][Ta][Ta][W][W][Tr][W][W][Tr][Tr][Tr][Ta][W][R][R][Ta][R]
31,6.0,6.0,4.0,4.0,20,random,4.0,2.0,3.0,2.0,4,4,1,3,1,2,4,2,3,2,[W][Tr][Tr][Tr][Ta][Ta][Tr][Ta][Ta][W][W][R][R][R][R][W][Ta][Ta][W][W]
32,6.0,6.0,4.0,4.0,20,random,2.0,2.0,0.0,2.0,4,2,1,1,0,1,2,2,0,2,[Ta][Tr][W][Tr][Ta][R][W][W][Ta][W][R][W][Tr][Ta][Ta][W][Ta][Tr][R][R]
