polymer,system,A2_unnormalized,deltaGmin,N,A2_normalized
000,fe_virial_batch0,-98.03516445224139,0,24,-0.1701999382851413
001,fe_virial_batch0,-68.70863246613972,0,24,-0.11928582025371479
002,fe_virial_batch0,-51.42165296398795,0,24,-0.08927370306247909
003,fe_virial_batch0,-12.83714306055315,0,24,-0.022286706702349217
004,fe_virial_batch0,13.578275564885557,0,24,0.023573395077926315
005,fe_virial_batch0,144.89739718318503,0,24,0.25155798122080736
006,fe_virial_batch0,37.478985418969096,0,24,0.06506768301904357
007,fe_virial_batch0,14.569401604215754,0,24,0.025294100007319017
008,fe_virial_batch0,-57.03920352760641,0,24,-0.09902639501320558
009,fe_virial_batch0,123.26952766483194,0,24,0.21400959664033323
010,fe_virial_batch0,29.629100899841127,0,24,0.0514394112844464
011,fe_virial_batch0,64.25426870696022,0,24,0.1115525498384726
012,fe_virial_batch0,45.495434408682456,0,24,0.07898512918174037
013,fe_virial_batch0,91.86833907114975,0,24,0.15949364422074608
014,fe_virial_batch0,-64.70621043360703,0,24,-0.11233717089167887
015,fe_virial_batch0,140.81206933435197,0,40,0.08800754333396998
016,fe_virial_batch0,48.321183631709545,0,40,0.030200739769818467
017,fe_virial_batch0,85.0927250474659,0,40,0.05318295315466619
018,fe_virial_batch0,59.36981504664504,0,40,0.03710613440415315
019,fe_virial_batch0,50.36300444688527,0,40,0.031476877779303296
020,fe_virial_batch0,19.502026224198115,0,32,0.01904494748456847
021,fe_virial_batch0,29.282585830147795,0,32,0.028596275224753706
022,fe_virial_batch0,-20.768346945693843,0,32,-0.020281588814154143
023,fe_virial_batch0,111.04774363665548,0,32,0.10844506214517137
024,fe_virial_batch0,5.488179939990224,0,32,0.005359550722646703
025,fe_virial_batch0,9.781713129874628,0,32,0.009552454228393192
026,fe_virial_batch0,113.7971951924163,0,32,0.11113007343009404
027,fe_virial_batch0,118.42700050684292,0,32,0.11565136768246378
028,fe_virial_batch0,20.40757254141669,0,32,0.019929270059977237
029,fe_virial_batch0,146.0322430186616,0,32,0.14260961232291172
030,fe_virial_batch0,55.26774628510304,0,32,0.053972408481545935
031,fe_virial_batch0,-51.471160221561775,0,32,-0.05026480490386892
032,fe_virial_batch0,115.33089481903008,0,32,0.11262782697170906
033,fe_virial_batch0,28.258195945807547,0,32,0.027595894478327682
034,fe_virial_batch0,132.84999930690387,0,32,0.1297363274481483
035,fe_virial_batch0,46.22050765036141,0,48,0.02006098422324714
036,fe_virial_batch0,117.18360716764934,0,48,0.050860940610958916
037,fe_virial_batch0,105.55429996925666,0,48,0.045813498250545426
038,fe_virial_batch0,112.93273153431005,0,48,0.04901594250621096
039,fe_virial_batch0,21.292763872582277,0,48,0.009241650986363835
