deltaGmin,system,polymer
-7.535286244444447,fe_random_batch1_0,000
-7.270527222222221,fe_random_batch1_0,001
-6.416311311111111,fe_random_batch1_0,002
-6.684815644444439,fe_random_batch1_0,003
-6.606492355555552,fe_random_batch1_0,004
-6.210183644444443,fe_random_batch1_0,005
-6.616805355555557,fe_random_batch1_0,006
-5.5528067555555545,fe_random_batch1_0,007
-6.361648266666666,fe_random_batch1_0,008
-6.6253376444444445,fe_random_batch1_0,009
-5.746780800000008,fe_random_batch1_0,010
-6.199177400000003,fe_random_batch1_0,011
-5.725815511111109,fe_random_batch1_0,012
-6.108037400000004,fe_random_batch1_0,013
-5.098399777777773,fe_random_batch1_0,014
-3.827768777777778,fe_random_batch1_0,015
-5.153167333333335,fe_random_batch1_0,016
-5.229208244444444,fe_random_batch1_0,017
-4.6992663111111135,fe_random_batch1_0,018
-4.295751511111112,fe_random_batch1_0,019
-3.035130800000002,fe_random_batch1_0,020
-3.7942442444444455,fe_random_batch1_0,021
-3.750494555555555,fe_random_batch1_0,022
-3.6235692000000004,fe_random_batch1_0,023
-4.7399288222222244,fe_random_batch1_0,024
-7.473622511111112,fe_random_batch1_0,025
-8.49029911111111,fe_random_batch1_0,026
-8.311674688888887,fe_random_batch1_0,027
-8.727434511111113,fe_random_batch1_0,028
-7.092548511111114,fe_random_batch1_0,029
-7.768155422222221,fe_random_batch1_0,030
-7.483449933333331,fe_random_batch1_0,031
-7.168900755555554,fe_random_batch1_0,032
-7.408500844444448,fe_random_batch1_0,033
-7.8096754666666595,fe_random_batch1_0,034
-6.062767422222227,fe_random_batch1_0,035
-5.998904555555551,fe_random_batch1_0,036
-6.669927199999999,fe_random_batch1_0,037
-7.141929422222218,fe_random_batch1_0,038
-6.698649244444445,fe_random_batch1_0,039
-6.496305488888892,fe_random_batch1_0,040
-6.725735511111116,fe_random_batch1_0,041
-6.844249399999998,fe_random_batch1_0,042
-6.227396200000004,fe_random_batch1_0,043
-6.3983171999999975,fe_random_batch1_0,044
-5.137849733333332,fe_random_batch1_0,045
-5.951372711111109,fe_random_batch1_0,046
-6.229957733333329,fe_random_batch1_0,047
-5.280911177777781,fe_random_batch1_0,048
-6.687871511111119,fe_random_batch1_0,049
-9.750428399999995,fe_random_batch1_0,050
-9.236555088888894,fe_random_batch1_0,051
-9.69241662222222,fe_random_batch1_0,052
-9.482770733333338,fe_random_batch1_0,053
-9.550020266666666,fe_random_batch1_0,054
-9.678986866666664,fe_random_batch1_0,055
-9.507337733333328,fe_random_batch1_0,056
-10.010626266666671,fe_random_batch1_0,057
-8.679530911111115,fe_random_batch1_0,058
-8.070174466666664,fe_random_batch1_0,059
-7.693836622222222,fe_random_batch1_0,060
-6.974304977777775,fe_random_batch1_0,061
-8.292957577777775,fe_random_batch1_0,062
-8.460030800000016,fe_random_batch1_0,063
-8.637364488888894,fe_random_batch1_0,064
-7.629019733333327,fe_random_batch1_0,065
-7.565404777777779,fe_random_batch1_0,066
-7.391299666666669,fe_random_batch1_0,067
-7.163973733333331,fe_random_batch1_0,068
-9.433233822222224,fe_random_batch1_0,069
-7.623839799999999,fe_random_batch1_0,070
-7.548250666666665,fe_random_batch1_0,071
-7.0474860666666705,fe_random_batch1_0,072
-6.207486266666662,fe_random_batch1_0,073
-6.725927466666666,fe_random_batch1_0,074
-11.006703599999991,fe_random_batch1_0,075
-11.029947755555563,fe_random_batch1_0,076
-10.75221288888888,fe_random_batch1_0,077
-11.225569755555542,fe_random_batch1_0,078
-10.612028711111087,fe_random_batch1_0,079
-10.509882377777785,fe_random_batch1_0,080
-9.767585177777772,fe_random_batch1_0,081
-9.17841215555555,fe_random_batch1_0,082
-10.163111000000004,fe_random_batch1_0,083
-9.532329644444452,fe_random_batch1_0,084
-8.673717088888889,fe_random_batch1_0,085
-9.979520644444442,fe_random_batch1_0,086
-8.7689502,fe_random_batch1_0,087
-9.034607111111114,fe_random_batch1_0,088
-9.02088477777778,fe_random_batch1_0,089
-9.57930253333333,fe_random_batch1_0,090
-8.105163177777772,fe_random_batch1_0,091
-7.443217866666673,fe_random_batch1_0,092
-9.812894511111107,fe_random_batch1_0,093
-8.746621177777776,fe_random_batch1_0,094
-9.388334266666659,fe_random_batch1_0,095
-6.850658533333333,fe_random_batch1_0,096
-7.9889344666666675,fe_random_batch1_0,097
-7.4060520444444435,fe_random_batch1_0,098
-8.83733262222222,fe_random_batch1_0,099
-12.596504666666666,fe_random_batch1_0,100
-11.943655288888877,fe_random_batch1_0,101
-12.34517062222223,fe_random_batch1_0,102
-13.629452711111112,fe_random_batch1_0,103
-11.99825651111112,fe_random_batch1_0,104
-12.350098999999998,fe_random_batch1_0,105
-11.910803622222216,fe_random_batch1_0,106
-11.435223511111118,fe_random_batch1_0,107
-11.636718355555555,fe_random_batch1_0,108
-11.075478288888887,fe_random_batch1_0,109
-9.67547526666666,fe_random_batch1_0,110
-10.516514355555557,fe_random_batch1_0,111
-11.17671942222223,fe_random_batch1_0,112
-10.51595617777778,fe_random_batch1_0,113
-11.000084822222226,fe_random_batch1_0,114
-10.612373222222214,fe_random_batch1_0,115
-10.489316511111111,fe_random_batch1_0,116
-10.155248466666668,fe_random_batch1_0,117
-10.864322400000002,fe_random_batch1_0,118
-10.212378711111116,fe_random_batch1_0,119
-9.600944244444443,fe_random_batch1_0,120
-8.490523311111112,fe_random_batch1_0,121
-9.154814377777775,fe_random_batch1_0,122
-8.833795511111108,fe_random_batch1_0,123
-8.386736977777774,fe_random_batch1_0,124
-6.767481711111104,fe_random_batch1_0,125
-6.672555222222219,fe_random_batch1_0,126
-6.939872577777777,fe_random_batch1_0,127
