polymer,system,A2_unnormalized,deltaGmin,N,A2_normalized
000,fe_rand_virial_batch1,26.457793888458642,0,16,0.10335075737679157
001,fe_rand_virial_batch1,59.086690488895975,0,16,0.2308073847222499
002,fe_rand_virial_batch1,-24.750527070182148,0,16,-0.09668174636789902
003,fe_rand_virial_batch1,125.56729545043727,0,16,0.4904972478532706
004,fe_rand_virial_batch1,95.94622074558858,0,16,0.3747899247874554
005,fe_rand_virial_batch1,130.4459334975763,0,18,0.402610905856717
006,fe_rand_virial_batch1,116.7335973985795,0,18,0.3602888808598133
007,fe_rand_virial_batch1,51.31707211403129,0,18,0.15838602504330646
008,fe_rand_virial_batch1,86.31649745385582,0,18,0.26640894275881427
009,fe_rand_virial_batch1,-9.577813807762368,0,18,-0.02956115372766163
010,fe_rand_virial_batch1,200.19814264400455,0,20,0.5004953566100113
011,fe_rand_virial_batch1,181.41862666906832,0,20,0.4535465666726708
012,fe_rand_virial_batch1,54.54716669637585,0,20,0.13636791674093962
013,fe_rand_virial_batch1,70.14522226683398,0,20,0.17536305566708496
014,fe_rand_virial_batch1,-88.6764537380751,0,20,-0.22169113434518775
015,fe_rand_virial_batch1,66.95852993269791,0,22,0.13834407010887997
016,fe_rand_virial_batch1,83.26174867151619,0,22,0.17202840634610783
017,fe_rand_virial_batch1,8.032246018474451,0,22,0.016595549624947213
018,fe_rand_virial_batch1,-32.97006788464719,0,22,-0.06811997496827932
019,fe_rand_virial_batch1,-55.9030655885092,0,22,-0.11550220162915124
020,fe_rand_virial_batch1,156.2300410057826,0,24,0.2712327100794837
021,fe_rand_virial_batch1,77.28884622558819,0,24,0.13418202469720172
022,fe_rand_virial_batch1,42.62431564472243,0,24,0.07400054799430977
023,fe_rand_virial_batch1,8.8028196853798,0,24,0.015282673064895487
024,fe_rand_virial_batch1,101.98074214359512,0,24,0.17704989955485265
025,fe_rand_virial_batch1,-11.340970482983325,0,18,-0.03500299531784977
026,fe_rand_virial_batch1,-95.32571879552381,0,18,-0.29421518146766606
027,fe_rand_virial_batch1,53.54575213979936,0,18,0.1652646670981462
028,fe_rand_virial_batch1,15.088093230274232,0,18,0.046568188982327875
029,fe_rand_virial_batch1,5.907383449812639,0,18,0.01823266496855753
030,fe_rand_virial_batch1,86.41845005049737,0,20,0.21604612512624344
031,fe_rand_virial_batch1,101.46852311010296,0,20,0.2536713077752574
032,fe_rand_virial_batch1,28.573637784870016,0,20,0.07143409446217504
033,fe_rand_virial_batch1,100.12787257464036,0,20,0.2503196814366009
034,fe_rand_virial_batch1,56.73759849559006,0,20,0.14184399623897515
035,fe_rand_virial_batch1,51.54012995461677,0,22,0.10648787180705944
036,fe_rand_virial_batch1,107.6298166892991,0,22,0.2223756543167337
037,fe_rand_virial_batch1,-38.750562689631785,0,22,-0.08006314605295824
038,fe_rand_virial_batch1,17.886158817470694,0,22,0.03695487358981548
039,fe_rand_virial_batch1,105.93823101520772,0,22,0.21888064259340437
040,fe_rand_virial_batch1,169.9152190628279,0,24,0.294991699761854
041,fe_rand_virial_batch1,78.40363078723853,0,24,0.13611741456117799
042,fe_rand_virial_batch1,19.99127093449852,0,24,0.03470706759461548
043,fe_rand_virial_batch1,-121.80315281207533,0,24,-0.21146380696540856
044,fe_rand_virial_batch1,15.12543445489241,0,24,0.026259434817521545
045,fe_rand_virial_batch1,-66.05282080983959,0,26,-0.09771127338733666
046,fe_rand_virial_batch1,7.5335287493972185,0,26,0.011144273297924879
047,fe_rand_virial_batch1,142.73952148619273,0,26,0.21115313829318452
048,fe_rand_virial_batch1,-141.6216466589177,0,26,-0.20949947730609128
049,fe_rand_virial_batch1,84.28955675434459,0,26,0.12468869342358667
050,fe_rand_virial_batch1,83.66057275777193,0,20,0.20915143189442983
051,fe_rand_virial_batch1,29.9049832811778,0,20,0.0747624582029445
052,fe_rand_virial_batch1,-208.66984247604756,0,20,-0.521674606190119
053,fe_rand_virial_batch1,-88.96842971548888,0,20,-0.2224210742887222
054,fe_rand_virial_batch1,53.483489883497796,0,20,0.13370872470874448
055,fe_rand_virial_batch1,204.2643810720163,0,22,0.42203384519011633
056,fe_rand_virial_batch1,51.35567875687414,0,22,0.10610677429106227
057,fe_rand_virial_batch1,10.604796249159214,0,22,0.02191073605198185
058,fe_rand_virial_batch1,67.75390201403515,0,22,0.13998740085544453
059,fe_rand_virial_batch1,82.72127620997927,0,22,0.17091172770656873
060,fe_rand_virial_batch1,238.91501705904938,0,24,0.4147830157275163
061,fe_rand_virial_batch1,9.735884826532262,0,24,0.016902577823840734
062,fe_rand_virial_batch1,130.0175835010083,0,24,0.22572497135591718
063,fe_rand_virial_batch1,25.430821930261924,0,24,0.044150732517815844
064,fe_rand_virial_batch1,-208.19051285224106,0,24,-0.3614418625906963
065,fe_rand_virial_batch1,-53.83216361549519,0,26,-0.07963337812943075
066,fe_rand_virial_batch1,135.7056970903736,0,26,0.20074807261889585
067,fe_rand_virial_batch1,147.93981951438448,0,26,0.21884588685559836
068,fe_rand_virial_batch1,-168.7672997957006,0,26,-0.2496557689285512
069,fe_rand_virial_batch1,268.02187243667464,0,26,0.396482059817566
070,fe_rand_virial_batch1,-75.16117262316857,0,28,-0.09586884263159257
071,fe_rand_virial_batch1,91.91348753615144,0,28,0.11723659124509112
072,fe_rand_virial_batch1,172.75746667492692,0,28,0.22035391157516188
073,fe_rand_virial_batch1,241.50474294192875,0,28,0.30804176395654176
074,fe_rand_virial_batch1,127.46668935527575,0,28,0.16258506295315783
075,fe_rand_virial_batch1,-126.04702100277542,0,22,-0.2604277293445773
076,fe_rand_virial_batch1,49.12401371505633,0,22,0.10149589610548829
077,fe_rand_virial_batch1,-3.541280721022564,0,22,-0.007316695704592074
078,fe_rand_virial_batch1,-0.22958682616728876,0,22,-0.00047435294662662966
079,fe_rand_virial_batch1,-6.459028582869706,0,22,-0.01334510037782997
080,fe_rand_virial_batch1,86.68430090930539,0,24,0.1504935779675441
081,fe_rand_virial_batch1,24.156429844958286,0,24,0.04193824625860813
082,fe_rand_virial_batch1,101.82274062898694,0,24,0.17677559136976898
083,fe_rand_virial_batch1,223.08190507009203,0,24,0.3872949740800209
084,fe_rand_virial_batch1,-157.26953574407057,0,24,-0.27303738844456693
085,fe_rand_virial_batch1,15.710040207691268,0,26,0.023239704449247438
086,fe_rand_virial_batch1,100.26316763868661,0,26,0.1483182953235009
087,fe_rand_virial_batch1,-5.291212280783923,0,26,-0.007827237101751365
088,fe_rand_virial_batch1,51.50527867774356,0,26,0.07619124064754965
089,fe_rand_virial_batch1,147.99994340191432,0,26,0.21893482751762475
090,fe_rand_virial_batch1,112.18429175282749,0,28,0.1430922088684024
091,fe_rand_virial_batch1,-164.57357116021018,0,28,-0.20991526933700277
092,fe_rand_virial_batch1,183.82281405182135,0,28,0.23446787506609867
093,fe_rand_virial_batch1,12.5001519919358,0,28,0.01594407141828546
094,fe_rand_virial_batch1,25.708478386394383,0,28,0.03279142651325814
095,fe_rand_virial_batch1,157.21344890597342,0,30,0.17468160989552603
096,fe_rand_virial_batch1,50.749394624464855,0,30,0.0563882162494054
097,fe_rand_virial_batch1,102.77805773868762,0,30,0.11419784193187514
098,fe_rand_virial_batch1,-76.75140873330241,0,30,-0.08527934303700269
099,fe_rand_virial_batch1,69.97100123656126,0,30,0.07774555692951252
100,fe_rand_virial_batch1,58.72312211783709,0,24,0.10194986478791163
101,fe_rand_virial_batch1,-28.41945059629235,0,24,-0.04933932395189644
102,fe_rand_virial_batch1,-152.26504288380758,0,24,-0.26434903278438815
103,fe_rand_virial_batch1,36.6513463760708,0,24,0.06363080968067847
104,fe_rand_virial_batch1,-64.02936363764339,0,24,-0.11116208964868643
105,fe_rand_virial_batch1,-11.066435601348045,0,26,-0.016370466865899474
106,fe_rand_virial_batch1,24.438290982761202,0,26,0.0361513180218361
