,[W],[Ta],[Tr],[R],total_count,sequence_type,block_number,block_type,R_avg_cluster_size,Ta_avg_cluster_size,Tr_avg_cluster_size,W_avg_cluster_size,num_cluster_types,max_cluster_size,R_no_of_cluster,Ta_no_of_cluster,Tr_no_of_cluster,W_no_of_cluster,R_max_cluster_size,Ta_max_cluster_size,Tr_max_cluster_size,W_max_cluster_size,smiles
0,4.0,4.0,0.0,0.0,8.0,block,2,[W][Ta],0.0,4.0,0.0,4.0,2,4,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,[W][W][W][W][Ta][Ta][Ta][Ta]
1,12.0,4.0,0.0,0.0,16.0,block,2,[W][Ta],0.0,4.0,0.0,12.0,2,12,0.0,1.0,0.0,1.0,0.0,4.0,0.0,12.0,[W][W][W][W][W][W][W][W][W][W][W][W][Ta][Ta][Ta][Ta]
2,4.0,12.0,0.0,0.0,16.0,block,2,[W][Ta],0.0,12.0,0.0,4.0,2,12,0.0,1.0,0.0,1.0,0.0,12.0,0.0,4.0,[W][W][W][W][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta]
3,12.0,12.0,0.0,0.0,24.0,block,2,[W][Ta],0.0,12.0,0.0,12.0,2,12,0.0,1.0,0.0,1.0,0.0,12.0,0.0,12.0,[W][W][W][W][W][W][W][W][W][W][W][W][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta]
4,4.0,0.0,4.0,0.0,8.0,block,2,[W][Tr],0.0,0.0,4.0,4.0,2,4,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,[W][W][W][W][Tr][Tr][Tr][Tr]
5,12.0,0.0,4.0,0.0,16.0,block,2,[W][Tr],0.0,0.0,4.0,12.0,2,12,0.0,0.0,1.0,1.0,0.0,0.0,4.0,12.0,[W][W][W][W][W][W][W][W][W][W][W][W][Tr][Tr][Tr][Tr]
6,4.0,0.0,12.0,0.0,16.0,block,2,[W][Tr],0.0,0.0,12.0,4.0,2,12,0.0,0.0,1.0,1.0,0.0,0.0,12.0,4.0,[W][W][W][W][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr]
7,12.0,0.0,12.0,0.0,24.0,block,2,[W][Tr],0.0,0.0,12.0,12.0,2,12,0.0,0.0,1.0,1.0,0.0,0.0,12.0,12.0,[W][W][W][W][W][W][W][W][W][W][W][W][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr]
8,4.0,0.0,0.0,4.0,8.0,block,2,[W][R],4.0,0.0,0.0,4.0,2,4,1.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,[W][W][W][W][R][R][R][R]
9,12.0,0.0,0.0,4.0,16.0,block,2,[W][R],4.0,0.0,0.0,12.0,2,12,1.0,0.0,0.0,1.0,4.0,0.0,0.0,12.0,[W][W][W][W][W][W][W][W][W][W][W][W][R][R][R][R]
10,4.0,0.0,0.0,12.0,16.0,block,2,[W][R],12.0,0.0,0.0,4.0,2,12,1.0,0.0,0.0,1.0,12.0,0.0,0.0,4.0,[W][W][W][W][R][R][R][R][R][R][R][R][R][R][R][R]
11,12.0,0.0,0.0,12.0,24.0,block,2,[W][R],12.0,0.0,0.0,12.0,2,12,1.0,0.0,0.0,1.0,12.0,0.0,0.0,12.0,[W][W][W][W][W][W][W][W][W][W][W][W][R][R][R][R][R][R][R][R][R][R][R][R]
12,0.0,4.0,4.0,0.0,8.0,block,2,[Ta][Tr],0.0,4.0,4.0,0.0,2,4,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,[Ta][Ta][Ta][Ta][Tr][Tr][Tr][Tr]
13,0.0,12.0,4.0,0.0,16.0,block,2,[Ta][Tr],0.0,12.0,4.0,0.0,2,12,0.0,1.0,1.0,0.0,0.0,12.0,4.0,0.0,[Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Tr][Tr][Tr][Tr]
14,0.0,4.0,12.0,0.0,16.0,block,2,[Ta][Tr],0.0,4.0,12.0,0.0,2,12,0.0,1.0,1.0,0.0,0.0,4.0,12.0,0.0,[Ta][Ta][Ta][Ta][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr]
15,0.0,12.0,12.0,0.0,24.0,block,2,[Ta][Tr],0.0,12.0,12.0,0.0,2,12,0.0,1.0,1.0,0.0,0.0,12.0,12.0,0.0,[Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr]
16,0.0,4.0,0.0,4.0,8.0,block,2,[Ta][R],4.0,4.0,0.0,0.0,2,4,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,[Ta][Ta][Ta][Ta][R][R][R][R]
17,0.0,12.0,0.0,4.0,16.0,block,2,[Ta][R],4.0,12.0,0.0,0.0,2,12,1.0,1.0,0.0,0.0,4.0,12.0,0.0,0.0,[Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][R][R][R][R]
18,0.0,4.0,0.0,12.0,16.0,block,2,[Ta][R],12.0,4.0,0.0,0.0,2,12,1.0,1.0,0.0,0.0,12.0,4.0,0.0,0.0,[Ta][Ta][Ta][Ta][R][R][R][R][R][R][R][R][R][R][R][R]
19,0.0,12.0,0.0,12.0,24.0,block,2,[Ta][R],12.0,12.0,0.0,0.0,2,12,1.0,1.0,0.0,0.0,12.0,12.0,0.0,0.0,[Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][R][R][R][R][R][R][R][R][R][R][R][R]
20,0.0,0.0,4.0,4.0,8.0,block,2,[Tr][R],4.0,0.0,4.0,0.0,2,4,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,[Tr][Tr][Tr][Tr][R][R][R][R]
21,0.0,0.0,12.0,4.0,16.0,block,2,[Tr][R],4.0,0.0,12.0,0.0,2,12,1.0,0.0,1.0,0.0,4.0,0.0,12.0,0.0,[Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][R][R][R][R]
22,0.0,0.0,4.0,12.0,16.0,block,2,[Tr][R],12.0,0.0,4.0,0.0,2,12,1.0,0.0,1.0,0.0,12.0,0.0,4.0,0.0,[Tr][Tr][Tr][Tr][R][R][R][R][R][R][R][R][R][R][R][R]
23,0.0,0.0,12.0,12.0,24.0,block,2,[Tr][R],12.0,0.0,12.0,0.0,2,12,1.0,0.0,1.0,0.0,12.0,0.0,12.0,0.0,[Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][Tr][R][R][R][R][R][R][R][R][R][R][R][R]
24,8.0,4.0,0.0,0.0,12.0,block,3,[W][Ta][W],0.0,4.0,0.0,4.0,2,4,0.0,1.0,0.0,2.0,0.0,4.0,0.0,4.0,[W][W][W][W][Ta][Ta][Ta][Ta][W][W][W][W]
25,16.0,4.0,0.0,0.0,20.0,block,3,[W][Ta][W],0.0,4.0,0.0,8.0,2,12,0.0,1.0,0.0,2.0,0.0,4.0,0.0,12.0,[W][W][W][W][W][W][W][W][W][W][W][W][Ta][Ta][Ta][Ta][W][W][W][W]
26,8.0,12.0,0.0,0.0,20.0,block,3,[W][Ta][W],0.0,12.0,0.0,4.0,2,12,0.0,1.0,0.0,2.0,0.0,12.0,0.0,4.0,[W][W][W][W][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][W][W][W][W]
27,16.0,12.0,0.0,0.0,28.0,block,3,[W][Ta][W],0.0,12.0,0.0,8.0,2,12,0.0,1.0,0.0,2.0,0.0,12.0,0.0,12.0,[W][W][W][W][W][W][W][W][W][W][W][W][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][W][W][W][W]
28,16.0,4.0,0.0,0.0,20.0,block,3,[W][Ta][W],0.0,4.0,0.0,8.0,2,12,0.0,1.0,0.0,2.0,0.0,4.0,0.0,12.0,[W][W][W][W][Ta][Ta][Ta][Ta][W][W][W][W][W][W][W][W][W][W][W][W]
29,24.0,4.0,0.0,0.0,28.0,block,3,[W][Ta][W],0.0,4.0,0.0,12.0,2,12,0.0,1.0,0.0,2.0,0.0,4.0,0.0,12.0,[W][W][W][W][W][W][W][W][W][W][W][W][Ta][Ta][Ta][Ta][W][W][W][W][W][W][W][W][W][W][W][W]
30,16.0,12.0,0.0,0.0,28.0,block,3,[W][Ta][W],0.0,12.0,0.0,8.0,2,12,0.0,1.0,0.0,2.0,0.0,12.0,0.0,12.0,[W][W][W][W][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][W][W][W][W][W][W][W][W][W][W][W][W]
31,24.0,12.0,0.0,0.0,36.0,block,3,[W][Ta][W],0.0,12.0,0.0,12.0,2,12,0.0,1.0,0.0,2.0,0.0,12.0,0.0,12.0,[W][W][W][W][W][W][W][W][W][W][W][W][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][Ta][W][W][W][W][W][W][W][W][W][W][W][W]
32,4.0,4.0,4.0,0.0,12.0,block,3,[W][Ta][Tr],0.0,4.0,4.0,4.0,3,4,0.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,[W][W][W][W][Ta][Ta][Ta][Ta][Tr][Tr][Tr][Tr]
33,12.0,4.0,4.0,0.0,20.0,block,3,[W][Ta][Tr],0.0,4.0,4.0,12.0,3,12,0.0,1.0,1.0,1.0,0.0,4.0,4.0,12.0,[W][W][W][W][W][W][W][W][W][W][W][W][Ta][Ta][Ta][Ta][Tr][Tr][Tr][Tr]
