polymer,system,A2_unnormalized,deltaGmin,N,A2_normalized
000,fe_virial_batch_100k1,-51.16298201016582,0.0,16,-0.19985539847721023
001,fe_virial_batch_100k1,123.14403887607985,0.0,16,0.4810314018596869
002,fe_virial_batch_100k1,77.25904931579603,0.0,16,0.30179316138982826
003,fe_virial_batch_100k1,177.15431143424053,0.0,16,0.692009029040002
004,fe_virial_batch_100k1,-79.34924266196867,0.0,16,-0.30995797914831513
005,fe_virial_batch_100k1,38.306609825668886,0.0,18,0.11823027723971878
006,fe_virial_batch_100k1,97.1378731175572,0.0,18,0.2998082503628309
007,fe_virial_batch_100k1,-2.0446245271040575,0.0,18,-0.006310569528098943
008,fe_virial_batch_100k1,-103.88297211713578,0.0,18,-0.32062645715165367
009,fe_virial_batch_100k1,1.7386754643400608,0.0,18,0.005366282297345867
010,fe_virial_batch_100k1,-42.52578262621207,0.0,20,-0.10631445656553018
011,fe_virial_batch_100k1,174.21108466073994,0.0,20,0.43552771165184984
012,fe_virial_batch_100k1,-30.20380011397453,0.0,20,-0.07550950028493633
013,fe_virial_batch_100k1,12.152736410578878,0.0,20,0.030381841026447195
014,fe_virial_batch_100k1,28.18845999815052,0.0,20,0.0704711499953763
015,fe_virial_batch_100k1,83.09975826939879,0.0,22,0.17169371543264214
016,fe_virial_batch_100k1,184.23318250750066,0.0,22,0.38064707129648895
017,fe_virial_batch_100k1,32.463338553736385,0.0,22,0.06707301354077766
018,fe_virial_batch_100k1,170.69422094383816,0.0,22,0.35267401021454164
019,fe_virial_batch_100k1,89.40026474253291,0.0,22,0.18471129079035725
020,fe_virial_batch_100k1,226.49381915915765,0.0,24,0.39321843604020423
021,fe_virial_batch_100k1,-42.06002900941564,0.0,24,-0.07302088369690216
022,fe_virial_batch_100k1,17.44992496773864,0.0,24,0.030295008624546246
023,fe_virial_batch_100k1,208.32654211710795,0.0,24,0.361678024508868
024,fe_virial_batch_100k1,-72.4141015224545,0.0,24,-0.1257189262542613
025,fe_virial_batch_100k1,39.26365522082704,0.0,18,0.12118412105193531
026,fe_virial_batch_100k1,-75.02263030555861,0.0,18,-0.23155132810357595
027,fe_virial_batch_100k1,-11.135327577955461,0.0,18,-0.034368294993689694
028,fe_virial_batch_100k1,-19.327712325190696,0.0,18,-0.059653433102440416
029,fe_virial_batch_100k1,83.44524447530335,0.0,18,0.2575470508497017
030,fe_virial_batch_100k1,96.23570149035949,0.0,20,0.24058925372589873
031,fe_virial_batch_100k1,34.41720331216357,0.0,20,0.08604300828040894
032,fe_virial_batch_100k1,87.5305135350469,0.0,20,0.21882628383761724
033,fe_virial_batch_100k1,60.65938283903451,0.0,20,0.15164845709758626
034,fe_virial_batch_100k1,65.53502037896341,0.0,20,0.1638375509474085
035,fe_virial_batch_100k1,96.61339451380522,0.0,22,0.19961445147480417
036,fe_virial_batch_100k1,111.04383647230303,0.0,22,0.2294294141989732
037,fe_virial_batch_100k1,24.536033110560417,0.0,22,0.05069428328628185
038,fe_virial_batch_100k1,110.02166153034537,0.0,22,0.22731748250071357
039,fe_virial_batch_100k1,-31.73751379770738,0.0,22,-0.06557337561509789
040,fe_virial_batch_100k1,93.07181905084636,0.0,24,0.16158301918549714
041,fe_virial_batch_100k1,148.15864785570952,0.0,24,0.2572198747494957
042,fe_virial_batch_100k1,-82.97312234989172,0.0,24,-0.1440505596352287
043,fe_virial_batch_100k1,71.2577578738885,0.0,24,0.12371138519772308
044,fe_virial_batch_100k1,110.00732356088666,0.0,24,0.19098493673765046
045,fe_virial_batch_100k1,150.9055673607834,0.0,26,0.22323308781180978
046,fe_virial_batch_100k1,96.05634646296588,0.0,26,0.14209518707539331
047,fe_virial_batch_100k1,122.99791324990404,0.0,26,0.18194957581346752
048,fe_virial_batch_100k1,27.783287576587753,0.0,26,0.041099537835188986
049,fe_virial_batch_100k1,181.73721802977903,0.0,26,0.2688420385055903
050,fe_virial_batch_100k1,183.53719883705023,0.0,20,0.45884299709262555
051,fe_virial_batch_100k1,38.61560718011874,0.0,20,0.09653901795029685
052,fe_virial_batch_100k1,15.771226889215203,0.0,20,0.03942806722303801
053,fe_virial_batch_100k1,14.14277505814766,0.0,20,0.03535693764536915
054,fe_virial_batch_100k1,69.17132716780101,0.0,20,0.17292831791950253
055,fe_virial_batch_100k1,25.415967457561653,0.0,22,0.05251232945777201
056,fe_virial_batch_100k1,174.78337058676337,0.0,22,0.3611226665015772
057,fe_virial_batch_100k1,-15.93388277468223,0.0,22,-0.03292124540223601
058,fe_virial_batch_100k1,145.6091963195945,0.0,22,0.30084544694131093
059,fe_virial_batch_100k1,34.79406001315962,0.0,22,0.07188855374619757
060,fe_virial_batch_100k1,117.93987597323432,0.0,24,0.2047567291201985
061,fe_virial_batch_100k1,-0.6642764248275118,0.0,24,-0.001153257681992208
062,fe_virial_batch_100k1,204.10642667838837,0.0,24,0.35435143520553536
063,fe_virial_batch_100k1,78.17103952779003,0.0,24,0.13571361029130213
064,fe_virial_batch_100k1,120.1457474666189,0.0,24,0.2085863671295467
065,fe_virial_batch_100k1,0.1972524137429993,0.0,26,0.00029179351145414096
066,fe_virial_batch_100k1,60.676285798760226,0.0,26,0.08975781922893525
067,fe_virial_batch_100k1,81.96194234819029,0.0,26,0.12124547684643534
068,fe_virial_batch_100k1,47.273904453548,0.0,26,0.06993181132181657
069,fe_virial_batch_100k1,48.51722097698534,0.0,26,0.07177103694820317
070,fe_virial_batch_100k1,67.43155248179696,0.0,28,0.08600963326759815
071,fe_virial_batch_100k1,217.6258632789968,0.0,28,0.2775840092844347
072,fe_virial_batch_100k1,-59.49121206895863,0.0,28,-0.0758816480471411
073,fe_virial_batch_100k1,141.88053116366194,0.0,28,0.18097006525977288
074,fe_virial_batch_100k1,22.74945040887767,0.0,28,0.02901715613377254
075,fe_virial_batch_100k1,133.98461321558327,0.0,22,0.27682771325533734
076,fe_virial_batch_100k1,233.03522965023424,0.0,22,0.48147774721122777
077,fe_virial_batch_100k1,101.48006230529792,0.0,22,0.20966955021755768
078,fe_virial_batch_100k1,26.518117363842894,0.0,22,0.05478949868562581
079,fe_virial_batch_100k1,38.038409554475834,0.0,22,0.07859175527784264
080,fe_virial_batch_100k1,27.641907903153477,0.0,24,0.047989423442974785
081,fe_virial_batch_100k1,40.08229677195979,0.0,24,0.0695873207846524
082,fe_virial_batch_100k1,-136.58843353085928,0.0,24,-0.23713269710218624
083,fe_virial_batch_100k1,-197.1344585751654,0.0,24,-0.3422473239152177
084,fe_virial_batch_100k1,2.062337025058959,0.0,24,0.003580446224060693
085,fe_virial_batch_100k1,63.066008673280436,0.0,26,0.09329291223858052
086,fe_virial_batch_100k1,316.3625155444704,0.0,26,0.4679918869001041
087,fe_virial_batch_100k1,30.824099681470134,0.0,26,0.04559778059389073
088,fe_virial_batch_100k1,-60.78430833364683,0.0,26,-0.08991761587817577
