polymer,system,A2_unnormalized,deltaGmin,deltaGmax,F_repel_max,N,A2_normalized
000,fe_virial_batch_100k_1_0,5.691004379660301,0.0,1.274045874536985,1.086658102696041,16,0.02223048585804805
001,fe_virial_batch_100k_1_0,34.089011715369246,0.0,1.282530652314763,1.1795851965600017,16,0.13316020201316112
002,fe_virial_batch_100k_1_0,36.967266429032804,0.0,1.7421653189814281,1.7283441647790019,16,0.1444033844884094
003,fe_virial_batch_100k_1_0,94.9805448250772,0.0,2.0444443189814296,1.2754358734929097,16,0.3710177532229578
004,fe_virial_batch_100k_1_0,6.924458721021928,0.0,1.5617948745369852,1.311686022072978,16,0.027048666878991906
005,fe_virial_batch_100k_1_0,11.5772382287378,0.0,1.7781359856480954,1.2235187087663828,18,0.03573221675536358
006,fe_virial_batch_100k_1_0,92.9508802732892,0.0,1.9564878745369843,1.45965441939126,18,0.2868854329422506
007,fe_virial_batch_100k_1_0,31.1325269305429,0.0,2.286984874536985,1.1612729693700565,18,0.09608804608192253
008,fe_virial_batch_100k_1_0,13.949965530716192,0.0,2.0769300967592064,1.3805003621833745,18,0.04305544916887714
009,fe_virial_batch_100k_1_0,72.20063765226841,0.0,1.7218277634258725,1.3431223466754332,18,0.22284147423539633
010,fe_virial_batch_100k_1_0,35.86387433247235,0.0,2.483448318981429,1.1723642691292344,20,0.08965968583118088
011,fe_virial_batch_100k_1_0,78.83221351968774,0.0,2.45923443009254,1.4745640688871609,20,0.19708053379921936
012,fe_virial_batch_100k_1_0,28.502933156003657,0.0,2.2496930967592066,1.1106397237001122,20,0.07125733289000914
013,fe_virial_batch_100k_1_0,85.65028694189175,0.0,1.9413842360953941,0.9507755432838612,20,0.21412571735472938
014,fe_virial_batch_100k_1_0,22.845827966781673,0.0,1.9734269856480957,1.1046893739321941,20,0.05711456991695418
015,fe_virial_batch_100k_1_0,36.46955330217917,0.0,2.136107541203652,1.0205580241933276,22,0.07535031674003961
016,fe_virial_batch_100k_1_0,73.82555969107291,0.0,2.606668652314763,1.3041246622042917,22,0.15253214812205146
017,fe_virial_batch_100k_1_0,43.18387439673338,0.0,2.7618402078703177,1.2573028365704761,22,0.08922288098498632
018,fe_virial_batch_100k_1_0,148.21253992032135,0.0,2.507377318981429,1.6759842863187238,22,0.3062242560337218
019,fe_virial_batch_100k_1_0,55.559822923141695,0.0,3.0438020967592068,1.3028603780708572,22,0.11479302256847458
020,fe_virial_batch_100k_1_0,164.18074051613294,0.0,3.0700332078703183,1.365367714275141,24,0.2850360078405086
021,fe_virial_batch_100k_1_0,32.56711992842836,0.0,2.2868850967592063,1.1782011936567134,24,0.05654013876463257
022,fe_virial_batch_100k_1_0,50.63027364690132,0.0,2.252275430092541,1.007270178735073,24,0.08789978063698146
023,fe_virial_batch_100k_1_0,103.76494768763413,0.0,2.7025132078703176,0.9888738010792579,24,0.1801474786243648
024,fe_virial_batch_100k_1_0,53.69771655537263,0.0,2.6743685412036524,1.1226150086441358,24,0.09322520235307748
025,fe_virial_batch_100k_1_0,77.10950432163398,0.0,1.3430934300925406,0.7988725208589925,18,0.23799229728899376
026,fe_virial_batch_100k_1_0,4.6265851581621815,0.0,1.1431302078703185,1.0763508832001918,18,0.014279583821488214
027,fe_virial_batch_100k_1_0,21.204639762705224,0.0,1.5681514300925403,0.9674528297300484,18,0.06544641902069513
028,fe_virial_batch_100k_1_0,6.809438793736554,0.0,1.4571358745369851,1.2252749980853128,18,0.021016786400421462
029,fe_virial_batch_100k_1_0,11.04021945337724,0.0,1.192438207870317,0.7552682942241917,18,0.03407475139931247
030,fe_virial_batch_100k_1_0,24.054543877145623,0.0,2.3330936523147625,1.2872352457487217,20,0.06013635969286406
031,fe_virial_batch_100k_1_0,145.88981636089503,0.0,1.808488318981428,0.9663102492158829,20,0.36472454090223755
032,fe_virial_batch_100k_1_0,102.87775205078118,0.0,2.429561874536985,1.8261753115552148,20,0.25719438012695295
033,fe_virial_batch_100k_1_0,113.0567525725865,0.0,2.7297406523147623,2.0282957083665787,20,0.28264188143146624
034,fe_virial_batch_100k_1_0,22.762562332020448,0.0,1.8235444300925403,0.9760164021564428,20,0.05690640583005112
035,fe_virial_batch_100k_1_0,48.60142246000876,0.0,2.010052874536985,0.8072148385152378,22,0.10041616210745612
036,fe_virial_batch_100k_1_0,34.6831519637705,0.0,2.419451652314763,1.1778496025561438,22,0.07165940488382334
037,fe_virial_batch_100k_1_0,28.727784721356038,0.0,1.7305685412036518,0.845807573401407,22,0.05935492711023975
038,fe_virial_batch_100k_1_0,206.89533043886195,0.0,2.534078096759207,1.3841448297361052,22,0.4274696909893842
039,fe_virial_batch_100k_1_0,23.206396015335912,0.0,1.786908763425874,0.9230271741730807,22,0.047947099205239485
040,fe_virial_batch_100k_1_0,45.434097255824334,0.0,2.425626569428728,1.0739984382478092,24,0.07887864106913947
