polymer,system,A2_unnormalized,deltaGmin,deltaGmax,N,A2_normalized,A2_normalized_win10,A2_normalized_win20,A2_normalized_win30,deltaGmax_win10,deltaGmax_win20,deltaGmax_win30
000,fe_virial_batch_100k_1_0,-28.08993729554194,0.0,1.4207490708765433,16,-0.1097263175607107,-0.027303843858753504,-0.09498484568699789,-0.09481307647832966,1.3643336863394373,1.178238906152479,0.9477506447974999
001,fe_virial_batch_100k_1_0,148.6323958956423,0.0,1.4333932713181006,16,0.5805952964673528,0.6891133870214076,0.6524878127913902,0.5143871691830751,1.3605967974505486,1.2186269839302568,1.0228693522049068
002,fe_virial_batch_100k_1_0,244.81792829213364,0.0,1.8854741855167483,16,0.956320032391147,0.8518313325212473,0.781864724700172,0.6720991614744066,1.7938188085616593,1.5964897728191452,1.3261919114641665
003,fe_virial_batch_100k_1_0,289.26048363216586,0.0,2.339671658759175,16,1.1299237641881479,1.1771964084721631,1.1274012787497212,0.9156531445487862,2.2063693987947532,1.9603291061524788,1.640240507760463
004,fe_virial_batch_100k_1_0,-127.08848785339684,0.0,1.8124102143147296,16,-0.4964394056773314,-0.5895648242103934,-0.6037557434366823,-0.42272469799446505,1.6980007654614184,1.4690580117080345,1.1971066633160174
005,fe_virial_batch_100k_1_0,10.466876761952143,0.0,1.8928318521834155,18,0.03230517519121032,-0.07602050662502113,-0.1407234590442803,-0.12583665209238554,1.8204406752283258,1.6219407894858122,1.378844511464166
006,fe_virial_batch_100k_1_0,203.93884067792266,0.0,2.1003082143147305,18,0.6294408662898847,0.42903078925947763,0.4188360435316214,0.35759499820036406,1.987948919672771,1.8632763617080341,1.660075207760463
007,fe_virial_batch_100k_1_0,143.28036154999782,0.0,2.418349493540322,18,0.4422233381172772,0.27605070501701595,0.22357571186136854,0.2895261931793845,2.3358833752283243,2.1487978061524786,1.8997699855382404
008,fe_virial_batch_100k_1_0,-58.06533569180424,0.0,2.4046639632945275,18,-0.17921399904877852,-0.40380481876198404,-0.576608510220999,-0.5016687147868448,2.2375682099058642,1.9430866283747004,1.6182729040567585
009,fe_virial_batch_100k_1_0,31.913596120864135,0.0,1.8601936299611936,18,0.0984987534594572,0.25160715774554004,0.2839706639937082,0.38259269900593396,1.82350361967277,1.6855960505969232,1.5111339707234255
010,fe_virial_batch_100k_1_0,107.91852153805473,0.0,2.6208659379847674,20,0.2697963038451368,0.19280163813108434,0.20155465589125438,0.30445820015698666,2.551763319672771,2.3436828005969232,2.106495670723425
011,fe_virial_batch_100k_1_0,176.48375675397813,0.0,2.6618352966278596,20,0.44120939188494535,0.5532486409882972,0.4693373255018232,0.39085798459744564,2.5975120085616594,2.392201617263588,2.119447133686387
012,fe_virial_batch_100k_1_0,88.72369379234465,0.0,2.518356715762544,20,0.22180923448086162,0.2270631239183378,0.11709250673834852,0.054031925257475,2.3889623654614183,2.133549189485813,1.8503723373900922
013,fe_virial_batch_100k_1_0,131.8628119329002,0.0,2.0813179379847675,20,0.3296570298322505,0.22946000653360848,0.1892190354930066,0.18908585551059998,1.9992050085616595,1.8937860339302568,1.7344218855382396
014,fe_virial_batch_100k_1_0,-4.0973437532511525,0.0,2.080624181987653,20,-0.01024335938312788,-0.1676664662158917,-0.30569853461338076,-0.2652318920183246,2.000781241894992,1.8466332283747013,1.6454336818345368
015,fe_virial_batch_100k_1_0,24.320893128404876,0.0,2.2068014077389715,22,0.050249779190919164,0.014032828107244573,-0.028064194575910164,-0.04920906681221735,2.16196559745055,2.045821595041367,1.8788017855382404
