[W],[Ta],[Tr],[R],total_count,R_avg_cluster_size,Ta_avg_cluster_size,Tr_avg_cluster_size,W_avg_cluster_size,num_cluster_types,max_cluster_size,R_no_of_cluster,Ta_no_of_cluster,Tr_no_of_cluster,W_no_of_cluster,R_max_cluster_size,Ta_max_cluster_size,Tr_max_cluster_size,W_max_cluster_size,deltaGmin,A2_normalized
4,4,4,12,24,2.333333333,0.0,2.0,0.0,4,3,3,0,1,0,3,0,2,0,-14.362044599999999,-0.1701999382851413
4,4,4,12,24,3.5,2.0,0.0,0.0,4,4,2,1,0,0,4,2,0,0,-13.811064866666674,-0.1192858202537148
4,4,4,12,24,2.666666667,2.0,0.0,0.0,4,3,3,1,0,0,3,2,0,0,-14.048943777777774,-0.08927370306247909
4,4,4,12,24,4.0,3.0,0.0,0.0,4,5,2,1,0,0,5,3,0,0,-13.72799164444445,-0.022286706702349217
4,4,4,12,24,2.333333333,0.0,2.0,0.0,4,3,3,0,1,0,3,0,2,0,-14.289431711111117,0.023573395077926315
12,4,4,4,24,0.0,2.0,0.0,2.25,4,3,0,1,0,4,0,2,0,3,-4.637447777777776,0.25155798122080736
12,4,4,4,24,0.0,0.0,0.0,2.333333333,4,3,0,0,0,3,0,0,0,3,-3.8517546444444437,0.06506768301904357
12,4,4,4,24,2.0,2.0,2.0,3.0,4,5,1,1,1,3,2,2,2,5,-4.198929955555556,0.025294100007319017
12,4,4,4,24,2.0,0.0,0.0,3.5,4,5,1,0,0,2,2,0,0,5,-4.6394240444444454,-0.09902639501320558
12,4,4,4,24,2.0,0.0,2.0,2.666666667,4,4,2,0,1,3,2,0,2,4,-4.096533044444448,0.21400959664033326
4,12,4,4,24,2.0,3.0,0.0,2.0,4,4,1,2,0,1,2,4,0,2,-12.569875266666672,0.0514394112844464
4,12,4,4,24,0.0,2.0,0.0,2.0,4,2,0,3,0,1,0,2,0,2,-12.429005400000005,0.1115525498384726
