[W],[Ta],[Tr],[R],total_count,R_avg_cluster_size,Ta_avg_cluster_size,Tr_avg_cluster_size,W_avg_cluster_size,num_cluster_types,max_cluster_size,R_no_of_cluster,Ta_no_of_cluster,Tr_no_of_cluster,W_no_of_cluster,R_max_cluster_size,Ta_max_cluster_size,Tr_max_cluster_size,W_max_cluster_size,deltaGmin,A2_normalized
4.0,4.0,4.0,4.0,16,2.0,3.0,2.0,2.0,4,3,1,1,1,1,2,3,2,2,-7.535286244444448,0.10335075737679156
4.0,4.0,4.0,4.0,16,2.0,3.0,3.0,2.0,4,3,1,1,1,2,2,3,3,2,-7.270527222222222,0.2308073847222499
4.0,4.0,4.0,4.0,16,0.0,0.0,2.0,0.0,4,2,0,0,1,0,0,0,2,0,-6.416311311111111,-0.09668174636789903
4.0,4.0,4.0,4.0,16,2.0,0.0,3.0,0.0,4,3,1,0,1,0,2,0,3,0,-6.684815644444439,0.4904972478532706
4.0,4.0,4.0,4.0,16,2.0,2.0,2.0,0.0,4,2,1,1,1,0,2,2,2,0,-6.606492355555552,0.3747899247874554
6.0,4.0,4.0,4.0,18,0.0,0.0,2.0,2.0,4,2,0,0,1,1,0,0,2,2,-6.210183644444442,0.402610905856717
6.0,4.0,4.0,4.0,18,0.0,2.0,0.0,2.0,4,2,0,1,0,1,0,2,0,2,-6.616805355555559,0.3602888808598133
6.0,4.0,4.0,4.0,18,0.0,0.0,2.0,2.0,4,2,0,0,1,1,0,0,2,2,-5.5528067555555545,0.15838602504330646
6.0,4.0,4.0,4.0,18,0.0,0.0,2.0,2.5,4,3,0,0,1,2,0,0,2,3,-6.361648266666666,0.2664089427588143
6.0,4.0,4.0,4.0,18,3.0,2.0,2.0,2.0,4,3,1,1,1,2,3,2,2,2,-6.6253376444444445,-0.029561153727661632
8.0,4.0,4.0,4.0,20,2.0,2.0,2.0,3.0,4,3,1,1,1,1,2,2,2,3,-5.746780800000009,0.5004953566100113
8.0,4.0,4.0,4.0,20,2.0,2.0,0.0,2.0,4,2,1,1,0,3,2,2,0,2,-6.199177400000003,0.4535465666726708
8.0,4.0,4.0,4.0,20,2.0,2.0,2.0,3.0,4,3,1,1,1,2,2,2,2,3,-5.725815511111108,0.13636791674093962
8.0,4.0,4.0,4.0,20,2.0,0.0,3.0,2.6666666666666665,4,4,1,0,1,3,2,0,3,4,-6.108037400000003,0.17536305566708496
8.0,4.0,4.0,4.0,20,0.0,0.0,0.0,3.0,4,3,0,0,0,1,0,0,0,3,-5.098399777777773,-0.22169113434518772
10.0,4.0,4.0,4.0,22,0.0,0.0,0.0,2.0,4,2,0,0,0,1,0,0,0,2,-3.8277687777777785,0.13834407010887995
10.0,4.0,4.0,4.0,22,3.0,0.0,0.0,3.0,4,3,1,0,0,2,3,0,0,3,-5.153167333333335,0.17202840634610786
10.0,4.0,4.0,4.0,22,0.0,2.0,0.0,2.25,4,3,0,1,0,4,0,2,0,3,-5.229208244444443,0.016595549624947213
10.0,4.0,4.0,4.0,22,0.0,0.0,2.0,2.5,4,3,0,0,2,2,0,0,2,3,-4.6992663111111135,-0.06811997496827933
10.0,4.0,4.0,4.0,22,0.0,0.0,0.0,2.333333333333333,4,3,0,0,0,3,0,0,0,3,-4.295751511111112,-0.11550220162915124
12.0,4.0,4.0,4.0,24,0.0,0.0,0.0,2.0,4,2,0,0,0,3,0,0,0,2,-3.035130800000002,0.2712327100794837
12.0,4.0,4.0,4.0,24,0.0,0.0,0.0,2.0,4,2,0,0,0,4,0,0,0,2,-3.7942442444444455,0.13418202469720172
12.0,4.0,4.0,4.0,24,0.0,0.0,0.0,2.0,4,2,0,0,0,5,0,0,0,2,-3.750494555555555,0.07400054799430977
12.0,4.0,4.0,4.0,24,2.0,0.0,0.0,2.333333333333333,4,3,1,0,0,3,2,0,0,3,-3.6235692,0.015282673064895487
12.0,4.0,4.0,4.0,24,0.0,0.0,2.0,3.333333333333333,4,6,0,0,1,3,0,0,2,6,-4.739928822222224,0.17704989955485265
4.0,6.0,4.0,4.0,18,2.0,2.0,2.0,0.0,4,2,1,2,1,0,2,2,2,0,-7.473622511111113,-0.03500299531784977
4.0,6.0,4.0,4.0,18,2.0,2.0,0.0,0.0,4,2,1,2,0,0,2,2,0,0,-8.49029911111111,-0.2942151814676661
4.0,6.0,4.0,4.0,18,2.0,2.0,0.0,0.0,4,2,1,1,0,0,2,2,0,0,-8.311674688888887,0.1652646670981462
4.0,6.0,4.0,4.0,18,2.0,2.5,3.0,3.0,4,3,1,2,1,1,2,3,3,3,-8.727434511111113,0.04656818898232788
4.0,6.0,4.0,4.0,18,0.0,2.0,2.0,0.0,4,2,0,1,1,0,0,2,2,0,-7.092548511111112,0.018232664968557532
6.0,6.0,4.0,4.0,20,2.0,4.0,3.0,2.0,4,4,1,1,1,2,2,4,3,2,-7.768155422222222,0.21604612512624344
6.0,6.0,4.0,4.0,20,4.0,2.0,3.0,2.0,4,4,1,3,1,2,4,2,3,2,-7.483449933333332,0.2536713077752574
