system,Rg
frac_0,1.4740498550724639
frac_1,1.4576076771614193
frac_2,1.464777411794103
frac_3,1.4725555937031485
frac_4,1.4631818140929536
frac_5,1.6177384792603697
frac_6,1.5918575987006496
frac_7,1.621889563218391
frac_8,1.6401590709645177
frac_9,1.580492555722139
frac_10,1.770834087956022
frac_11,1.7738761269365317
frac_12,1.7351172263868064
frac_13,1.7177329985007497
frac_14,1.752852563718141
frac_15,1.8698921739130434
frac_16,1.8644647276361819
frac_17,1.9293574812593706
frac_18,1.8595748975512243
frac_19,1.9146012143928037
frac_20,2.0162615092453775
frac_21,2.0257043128435783
frac_22,2.0024342978510745
frac_23,2.0277838130934533
frac_24,2.0396781209395303
frac_25,1.5502348295852073
frac_26,1.5490666991504247
frac_27,1.552661008995502
frac_28,1.562640867566217
frac_29,1.5387308700649673
frac_30,1.7398567466266865
frac_31,1.6633661894052973
frac_32,1.7212879460269865
frac_33,1.7214683073463268
frac_34,1.6900174972513742
frac_35,1.8475746776611692
frac_36,1.8606836781609195
frac_37,1.8336888260869566
frac_38,1.8530160619690155
frac_39,1.8380158670664666
frac_40,1.9531091804097953
frac_41,1.9244016691654173
frac_42,1.9913984807596201
frac_43,2.0352779610194904
frac_44,1.9872813943028484
frac_45,2.112920784607696
frac_46,2.0986063568215894
frac_47,2.1219113493253374
frac_48,2.1146785957021486
frac_49,2.1168902598700647
frac_50,1.6200371144427785
frac_51,1.6073085062468764
frac_52,1.6655680369815093
frac_53,1.6252435652173916
frac_54,1.6465496776611692
frac_55,1.8118103648175912
frac_56,1.793522243878061
frac_57,1.750267084457771
frac_58,1.8060979045477261
frac_59,1.786732243878061
frac_60,1.9402574062968516
frac_61,1.9398115892053975
frac_62,1.9072442128935532
frac_63,1.8902163568215893
frac_64,1.9155605697151425
frac_65,2.033683128435782
frac_66,2.10449327836082
frac_67,2.0600959870064965
frac_68,2.115298925537231
frac_69,2.0358492603698153
frac_70,2.116103803098451
frac_71,2.191135207396302
frac_72,2.243861364317841
frac_73,2.170515767116442
frac_74,2.1852243978010994
frac_75,1.761576227386307
frac_76,1.7055071664167916
frac_77,1.7322962018990504
frac_78,1.7235235747126436
frac_79,1.7223273088455773
frac_80,1.8467512443778111
frac_81,1.8499718790604698
frac_82,1.8783174462768617
frac_83,1.8883535832083957
frac_84,1.892895752123938
frac_85,1.9892036731634184
frac_86,2.000644787606197
frac_87,2.022913343328336
frac_88,2.034545247376312
frac_89,2.031988230884558
frac_90,2.1454684307846077
frac_91,2.117923493253373
frac_92,2.152634782608696
frac_93,2.1028176811594204
frac_94,2.0939238980509742
frac_95,2.263435617191404
frac_96,2.238901804097951
frac_97,2.2475058920539728
frac_98,2.241700849575212
frac_99,2.2069479660169917
frac_100,1.8154035782108946
frac_101,1.7896723738130935
frac_102,1.8309993653173415
frac_103,1.82130263868066
frac_104,1.819517896051974
frac_105,1.946196091954023
frac_106,1.9740555672163917
frac_107,1.9748933383308345
frac_108,1.9502282708645677
frac_109,1.9416909195402299
frac_110,2.090824887556222
frac_111,2.0872464767616195
frac_112,2.042731024487756
frac_113,2.082973298350825
frac_114,2.0111663818090952
frac_115,2.180157996001999
frac_116,2.1760119340329838
frac_117,2.207647246376812
frac_118,2.2084469215392306
frac_119,2.226766491754123
frac_120,2.2777594352823587
frac_121,2.3325627236381807
frac_122,2.3266190454772615
frac_123,2.308564467766117
frac_124,2.3086880609695153
frac_125,1.5851672308845577
frac_126,1.5557011694152922
frac_127,1.5498098580709643
frac_128,1.534539704647676
frac_129,1.5425254447776113
frac_130,1.6816142698650676
