counter,n_samples,epsilon,beta_scale,delta
0,10,0.0,1.0,0.01
1,10,0.0,1.0,0.05
2,10,0.0,0.3333333333333333,0.01
3,10,0.0,0.3333333333333333,0.05
4,10,0.0,0.1111111111111111,0.01
5,10,0.0,0.1111111111111111,0.05
6,10,0.0,0.05,0.01
7,10,0.0,0.05,0.05
8,10,0.01,1.0,0.01
9,10,0.01,1.0,0.05
10,10,0.01,0.3333333333333333,0.01
11,10,0.01,0.3333333333333333,0.05
12,10,0.01,0.1111111111111111,0.01
13,10,0.01,0.1111111111111111,0.05
14,10,0.01,0.05,0.01
15,10,0.01,0.05,0.05
16,10,0.05,1.0,0.01
17,10,0.05,1.0,0.05
18,10,0.05,0.3333333333333333,0.01
19,10,0.05,0.3333333333333333,0.05
20,10,0.05,0.1111111111111111,0.01
21,10,0.05,0.1111111111111111,0.05
22,10,0.05,0.05,0.01
23,10,0.05,0.05,0.05
24,10,0.1,1.0,0.01
25,10,0.1,1.0,0.05
26,10,0.1,0.3333333333333333,0.01
27,10,0.1,0.3333333333333333,0.05
28,10,0.1,0.1111111111111111,0.01
29,10,0.1,0.1111111111111111,0.05
30,10,0.1,0.05,0.01
31,10,0.1,0.05,0.05
32,20,0.0,1.0,0.01
33,20,0.0,1.0,0.05
34,20,0.0,0.3333333333333333,0.01
35,20,0.0,0.3333333333333333,0.05
36,20,0.0,0.1111111111111111,0.01
37,20,0.0,0.1111111111111111,0.05
38,20,0.0,0.05,0.01
39,20,0.0,0.05,0.05
40,20,0.01,1.0,0.01
41,20,0.01,1.0,0.05
42,20,0.01,0.3333333333333333,0.01
43,20,0.01,0.3333333333333333,0.05
44,20,0.01,0.1111111111111111,0.01
45,20,0.01,0.1111111111111111,0.05
46,20,0.01,0.05,0.01
47,20,0.01,0.05,0.05
48,20,0.05,1.0,0.01
49,20,0.05,1.0,0.05
50,20,0.05,0.3333333333333333,0.01
51,20,0.05,0.3333333333333333,0.05
52,20,0.05,0.1111111111111111,0.01
53,20,0.05,0.1111111111111111,0.05
54,20,0.05,0.05,0.01
55,20,0.05,0.05,0.05
56,20,0.1,1.0,0.01
57,20,0.1,1.0,0.05
58,20,0.1,0.3333333333333333,0.01
59,20,0.1,0.3333333333333333,0.05
60,20,0.1,0.1111111111111111,0.01
61,20,0.1,0.1111111111111111,0.05
62,20,0.1,0.05,0.01
63,20,0.1,0.05,0.05
64,40,0.0,1.0,0.01
65,40,0.0,1.0,0.05
66,40,0.0,0.3333333333333333,0.01
67,40,0.0,0.3333333333333333,0.05
68,40,0.0,0.1111111111111111,0.01
69,40,0.0,0.1111111111111111,0.05
70,40,0.0,0.05,0.01
71,40,0.0,0.05,0.05
72,40,0.01,1.0,0.01
73,40,0.01,1.0,0.05
74,40,0.01,0.3333333333333333,0.01
75,40,0.01,0.3333333333333333,0.05
76,40,0.01,0.1111111111111111,0.01
77,40,0.01,0.1111111111111111,0.05
78,40,0.01,0.05,0.01
79,40,0.01,0.05,0.05
80,40,0.05,1.0,0.01
81,40,0.05,1.0,0.05
82,40,0.05,0.3333333333333333,0.01
83,40,0.05,0.3333333333333333,0.05
84,40,0.05,0.1111111111111111,0.01
85,40,0.05,0.1111111111111111,0.05
86,40,0.05,0.05,0.01
87,40,0.05,0.05,0.05
88,40,0.1,1.0,0.01
89,40,0.1,1.0,0.05
90,40,0.1,0.3333333333333333,0.01
91,40,0.1,0.3333333333333333,0.05
92,40,0.1,0.1111111111111111,0.01
93,40,0.1,0.1111111111111111,0.05
94,40,0.1,0.05,0.01
95,40,0.1,0.05,0.05
96,60,0.0,1.0,0.01
97,60,0.0,1.0,0.05
98,60,0.0,0.3333333333333333,0.01
99,60,0.0,0.3333333333333333,0.05
100,60,0.0,0.1111111111111111,0.01
101,60,0.0,0.1111111111111111,0.05
102,60,0.0,0.05,0.01
103,60,0.0,0.05,0.05
104,60,0.01,1.0,0.01
105,60,0.01,1.0,0.05
106,60,0.01,0.3333333333333333,0.01
107,60,0.01,0.3333333333333333,0.05
108,60,0.01,0.1111111111111111,0.01
109,60,0.01,0.1111111111111111,0.05
110,60,0.01,0.05,0.01
111,60,0.01,0.05,0.05
112,60,0.05,1.0,0.01
113,60,0.05,1.0,0.05
114,60,0.05,0.3333333333333333,0.01
115,60,0.05,0.3333333333333333,0.05
116,60,0.05,0.1111111111111111,0.01
117,60,0.05,0.1111111111111111,0.05
118,60,0.05,0.05,0.01
119,60,0.05,0.05,0.05
120,60,0.1,1.0,0.01
121,60,0.1,1.0,0.05
122,60,0.1,0.3333333333333333,0.01
123,60,0.1,0.3333333333333333,0.05
124,60,0.1,0.1111111111111111,0.01
125,60,0.1,0.1111111111111111,0.05
126,60,0.1,0.05,0.01
127,60,0.1,0.05,0.05
128,100,0.0,1.0,0.01
129,100,0.0,1.0,0.05
130,100,0.0,0.3333333333333333,0.01
131,100,0.0,0.3333333333333333,0.05
132,100,0.0,0.1111111111111111,0.01
133,100,0.0,0.1111111111111111,0.05
134,100,0.0,0.05,0.01
135,100,0.0,0.05,0.05
136,100,0.01,1.0,0.01
137,100,0.01,1.0,0.05
138,100,0.01,0.3333333333333333,0.01
139,100,0.01,0.3333333333333333,0.05
140,100,0.01,0.1111111111111111,0.01
141,100,0.01,0.1111111111111111,0.05
142,100,0.01,0.05,0.01
143,100,0.01,0.05,0.05
144,100,0.05,1.0,0.01
145,100,0.05,1.0,0.05
146,100,0.05,0.3333333333333333,0.01
147,100,0.05,0.3333333333333333,0.05
148,100,0.05,0.1111111111111111,0.01
149,100,0.05,0.1111111111111111,0.05
150,100,0.05,0.05,0.01
151,100,0.05,0.05,0.05
152,100,0.1,1.0,0.01
153,100,0.1,1.0,0.05
154,100,0.1,0.3333333333333333,0.01
155,100,0.1,0.3333333333333333,0.05
156,100,0.1,0.1111111111111111,0.01
157,100,0.1,0.1111111111111111,0.05
158,100,0.1,0.05,0.01
159,100,0.1,0.05,0.05
160,200,0.0,1.0,0.01
161,200,0.0,1.0,0.05
162,200,0.0,0.3333333333333333,0.01
163,200,0.0,0.3333333333333333,0.05
164,200,0.0,0.1111111111111111,0.01
165,200,0.0,0.1111111111111111,0.05
166,200,0.0,0.05,0.01
167,200,0.0,0.05,0.05
168,200,0.01,1.0,0.01
169,200,0.01,1.0,0.05
170,200,0.01,0.3333333333333333,0.01
171,200,0.01,0.3333333333333333,0.05
172,200,0.01,0.1111111111111111,0.01
173,200,0.01,0.1111111111111111,0.05
174,200,0.01,0.05,0.01
175,200,0.01,0.05,0.05
176,200,0.05,1.0,0.01
177,200,0.05,1.0,0.05
178,200,0.05,0.3333333333333333,0.01
179,200,0.05,0.3333333333333333,0.05
180,200,0.05,0.1111111111111111,0.01
181,200,0.05,0.1111111111111111,0.05
182,200,0.05,0.05,0.01
183,200,0.05,0.05,0.05
184,200,0.1,1.0,0.01
185,200,0.1,1.0,0.05
186,200,0.1,0.3333333333333333,0.01
187,200,0.1,0.3333333333333333,0.05
188,200,0.1,0.1111111111111111,0.01
189,200,0.1,0.1111111111111111,0.05
190,200,0.1,0.05,0.01
191,200,0.1,0.05,0.05
